/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/location/location/contains	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/location/location/contains	/location/administrative_division/country
/people/person/places_lived./people/place_lived/location	/location/location/contains	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/people/person/places_lived./people/place_lived/location	/location/location/contains	/organization/organization/headquarters./location/mailing_address/state_province_region
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/language	/language/human_language/countries_spoken_in
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/film/actor/film./film/performance/film	/film/film/language	/language/human_language/countries_spoken_in
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/location/administrative_division/country
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/base/biblioness/bibs_location/country
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/location/administrative_division/first_level_division_of
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/dataworld/gardening_hint/split_to
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/base/aareas/schema/administrative_area/administrative_parent
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/time/event/locations
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/location/location/contains
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/location/contains
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/location/contains
/film/actor/film./film/performance/film	/film/film/country	/location/location/contains
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country	/location/location/contains
/people/person/languages	/language/human_language/countries_spoken_in
/people/person/languages	/language/human_language/countries_spoken_in	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/people/person/languages	/language/human_language/countries_spoken_in	/location/location/contains
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/nominees./award/award_nomination/nominated_for	/film/film/country
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country	/location/location/contains
/people/person/places_lived./people/place_lived/location	/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	/people/person/places_lived./people/place_lived/location
/people/person/spouse_s./people/marriage/spouse	/people/person/languages	/language/human_language/countries_spoken_in
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	/people/person/languages	/language/human_language/countries_spoken_in
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations	/base/aareas/schema/administrative_area/administrative_parent
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/produced_by	/people/person/place_of_birth
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/nominees./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/people/deceased_person/place_of_death	/location/hud_county_place/place	/base/biblioness/bibs_location/country
/people/deceased_person/place_of_death	/base/biblioness/bibs_location/country
/people/deceased_person/place_of_death	/base/biblioness/bibs_location/country	/dataworld/gardening_hint/split_to
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/place_of_birth	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/deceased_person/place_of_death	/base/biblioness/bibs_location/country
